Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)(10000000)
1792.5,3749970
1793.5,594573
1794.5,0
1795.5,0
1796.5,0
1797.5,0
1798.5,0
1799.5,0
1800.5,0
1801.5,0
1802.5,0
1803.5,0
1804.5,0
1805.5,0
1806.5,1815400
1807.5,22229400
1808.5,45148700
1809.5,62162800
1810.5,73983900
1811.5,65578400
1812.5,76359400
1813.5,73655300
1814.5,62959900
1815.5,47315800
1816.5,26328900
1817.5,4780200
1818.5,0
1819.5,0
1820.5,0
1821.5,0
1822.5,0
1823.5,0
1824.5,0
1825.5,0
1826.5,0
1827.5,0
1828.5,0
1829.5,0
1830.5,2052790
1831.5,20328100
1832.5,36039100
1833.5,54707500
1834.5,59474700
1835.5,61495500
1836.5,66593700
1837.5,61844100
1838.5,59944200
1839.5,43838500
1840.5,23361200
1841.5,4172280
1842.5,0
1843.5,0
1844.5,0
1845.5,0
1846.5,0
1847.5,0
1848.5,0
1849.5,0
1850.5,0
1851.5,0
1852.5,0
1853.5,0
1854.5,0
1855.5,5127640
1856.5,1224290
1857.5,3968800
1858.5,9995380
1859.5,7955280
1860.5,14966400
1861.5,11884800
1862.5,11744700
1863.5,16417100
1864.5,9891020
1865.5,1848150
1866.5,0
1867.5,0
1868.5,0
1869.5,0
1870.5,0
1871.5,0
1872.5,0
1873.5,0
1874.5,0
1875.5,0
1876.5,0
1877.5,0
1878.5,256195
1879.5,540292
1880.5,6055930
